form	reading	gloss_en	gloss_hi	pos	section	example_ja	example_en	audio_path	vocab_id
日本	にほん / にっぽん	Japan	जापान	noun	25. Languages and Countries	日本に 行きたいです。	I want to go to Japan.		n5.vocab.25-languages-and-countri.日本
日本語	にほんご	Japanese (language)	जापानी (भाषा)	noun	25. Languages and Countries	日本語を べんきょうします。	I study Japanese.		n5.vocab.25-languages-and-countri.日本語
日本人	にほんじん	Japanese (person)	जापानी (व्यक्ति)	noun	25. Languages and Countries	わたしは 日本人ではありません。	I'm not Japanese.		n5.vocab.25-languages-and-countri.日本人
アメリカ	アメリカ	America	अमेरिका	noun	25. Languages and Countries	アメリカから 来ました。	I came from America.		n5.vocab.25-languages-and-countri.アメリカ
えいご	えいご	English (language)	अंग्रेज़ी (भाषा)	noun	25. Languages and Countries	えいごを 話します。	I speak English.		n5.vocab.25-languages-and-countri.えいご
中国	ちゅうごく	China	चीन	noun	25. Languages and Countries	中国は 大きい 国です。	China is a big country.		n5.vocab.25-languages-and-countri.中国
中国語	ちゅうごくご	Chinese (language)	चीनी (भाषा)	noun	25. Languages and Countries	中国語が わかりません。	I don't understand Chinese.		n5.vocab.25-languages-and-countri.中国語
かんこく	かんこく	Korea	कोरिया	noun	25. Languages and Countries	かんこくの りょうりが すきです。	I like Korean food.		n5.vocab.25-languages-and-countri.かんこく
かんこくご	かんこくご	Korean (language)	कोरियाई (भाषा)	noun	25. Languages and Countries	かんこくごを ならって います。	I'm learning Korean.		n5.vocab.25-languages-and-countri.かんこくご
フランス	フランス	France	फ़्रांस	noun	25. Languages and Countries	フランスに 行きたいです。	I want to go to France.		n5.vocab.25-languages-and-countri.フランス
フランスご	フランスご	French (language)	फ़्रेंच (भाषा)	noun	25. Languages and Countries	フランスごを 話せます。	I can speak French.		n5.vocab.25-languages-and-countri.フランスご
ドイツ	ドイツ	Germany	जर्मनी	noun	25. Languages and Countries	ドイツは ヨーロッパの 国です。	Germany is a European country.		n5.vocab.25-languages-and-countri.ドイツ
スペイン	スペイン	Spain	स्पेन	noun	25. Languages and Countries	スペインの りょうりは おいしいです。	Spanish food is delicious.		n5.vocab.25-languages-and-countri.スペイン
イギリス	イギリス	United Kingdom	यूनाइटेड किंगडम	noun	25. Languages and Countries	イギリスは しまの 国です。	The UK is an island country.		n5.vocab.25-languages-and-countri.イギリス
外国	がいこく	foreign country	विदेश	noun	25. Languages and Countries	外国に 行きたいです。	I want to go abroad.		n5.vocab.25-languages-and-countri.外国
外国語	がいこくご	foreign language	विदेशी भाषा	noun	25. Languages and Countries	外国語を べんきょうします。	I study a foreign language.		n5.vocab.25-languages-and-countri.外国語
アパート	アパート	apartment	अपार्टमेंट	noun	26. House and Furniture	アパートに すんで います。	I live in an apartment.		n5.vocab.26-house-and-furniture.アパート
マンション	マンション	condominium	कॉन्डो / फ़्लैट	noun	26. House and Furniture	あの マンションは あたらしいです。	That condominium is new.		n5.vocab.26-house-and-furniture.マンション
ドア	ドア	door	दरवाज़ा	noun	26. House and Furniture	ドアを しめます。	I close the door.		n5.vocab.26-house-and-furniture.ドア
と	と	door (Japanese-style)	और / के साथ	noun	26. House and Furniture	との まえに ねこが います。	There's a cat in front of the door.		n5.vocab.26-house-and-furniture.と
もん	もん	gate	फाटक	noun	26. House and Furniture	もんを あけて ください。	Please open the gate.		n5.vocab.26-house-and-furniture.もん
まど	まど	window	खिड़की	noun	26. House and Furniture	まどを あけて ください。	Please open the window.		n5.vocab.26-house-and-furniture.まど
かべ	かべ	wall	दीवार	noun	26. House and Furniture	かべに えを かけます。	I hang a picture on the wall.		n5.vocab.26-house-and-furniture.かべ
かいだん	かいだん	stairs	सीढ़ियाँ	noun	26. House and Furniture	かいだんを のぼります。	I go up the stairs.		n5.vocab.26-house-and-furniture.かいだん
エレベーター	エレベーター	elevator	लिफ़्ट	noun	26. House and Furniture	エレベーターで 五かいに 行きます。	I'll take the elevator to the 5th floor.		n5.vocab.26-house-and-furniture.エレベーター
いま	いま	living room	बैठक / लिविंग रूम	noun	26. House and Furniture	いまで テレビを 見ます。	I watch TV in the living room.		n5.vocab.26-house-and-furniture.いま
しんしつ	しんしつ	bedroom	शयन-कक्ष	noun	26. House and Furniture	しんしつで ねます。	I sleep in the bedroom.		n5.vocab.26-house-and-furniture.しんしつ
ベッド	ベッド	bed	बिस्तर	noun	26. House and Furniture	ベッドで ねます。	I sleep in bed.		n5.vocab.26-house-and-furniture.ベッド
ふとん	ふとん	futon	फ़ूतोन / गद्दा	noun	26. House and Furniture	ふとんを しきます。	I lay out the futon.		n5.vocab.26-house-and-furniture.ふとん
もうふ	もうふ	blanket	कंबल	noun	26. House and Furniture	さむい とき、もうふを かけます。	When cold, I use a blanket.		n5.vocab.26-house-and-furniture.もうふ
まくら	まくら	pillow	तकिया	noun	26. House and Furniture	まくらは やわらかいです。	The pillow is soft.		n5.vocab.26-house-and-furniture.まくら
テーブル	テーブル	table	मेज़	noun	26. House and Furniture	テーブルの 上に 花が あります。	Flowers are on the table.		n5.vocab.26-house-and-furniture.テーブル
たな	たな	shelf	अलमारी / शेल्फ़	noun	26. House and Furniture	たなに 本を おきます。	I put the book on the shelf.		n5.vocab.26-house-and-furniture.たな
ほんだな	ほんだな	bookshelf	किताबों की अलमारी	noun	26. House and Furniture	ほんだなに 本が たくさん あります。	There are many books on the bookshelf.		n5.vocab.26-house-and-furniture.ほんだな
カーテン	カーテン	curtain	पर्दा	noun	26. House and Furniture	まどに カーテンを つけます。	I put a curtain on the window.		n5.vocab.26-house-and-furniture.カーテン
かぎ	かぎ	key, lock	चाबी / ताला	noun	26. House and Furniture	かぎを なくしました。	I lost the key.		n5.vocab.26-house-and-furniture.かぎ
電気	でんき	light	बिजली / लाइट	noun	26. House and Furniture	でんきを つけます。	I turn on the light.		n5.vocab.26-house-and-furniture.電気
せっけん	せっけん	soap	साबुन	noun	26. House and Furniture	せっけんで てを あらいます。	I wash my hands with soap.		n5.vocab.26-house-and-furniture.せっけん
はブラシ	はブラシ	toothbrush	टूथब्रश	noun	26. House and Furniture	まいあさ はブラシを つかいます。	I use a toothbrush every morning.		n5.vocab.26-house-and-furniture.はブラシ
タオル	タオル	towel	तौलिया	noun	26. House and Furniture	タオルで かおを ふきます。	I wipe my face with a towel.		n5.vocab.26-house-and-furniture.タオル
テープ	テープ	tape	टेप	noun	26. House and Furniture	テープで かみを はります。	I tape the paper.		n5.vocab.26-house-and-furniture.テープ
テレビ	テレビ	TV	टीवी	noun	26. House and Furniture	テレビを 見ます。	I watch TV.		n5.vocab.26-house-and-furniture.テレビ
ラジオ	ラジオ	radio	रेडियो	noun	26. House and Furniture	ラジオで ニュースを 聞きます。	I listen to the news on the radio.		n5.vocab.26-house-and-furniture.ラジオ
カメラ	カメラ	camera	कैमरा	noun	26. House and Furniture	カメラで しゃしんを とります。	I take photos with a camera.		n5.vocab.26-house-and-furniture.カメラ
ビデオ	ビデオ	video	वीडियो	noun	26. House and Furniture	ビデオを 見ます。	I watch a video.		n5.vocab.26-house-and-furniture.ビデオ
えいが	えいが	movie	फ़िल्म	noun	26. House and Furniture	日よう日に えいがを 見ます。	I watch movies on Sundays.		n5.vocab.26-house-and-furniture.えいが
おんがく	おんがく	music	संगीत	noun	26. House and Furniture	おんがくを 聞きながら べんきょうします。	I study while listening to music.		n5.vocab.26-house-and-furniture.おんがく
うた	うた	song	गीत	noun	26. House and Furniture	うたを うたいます。	I sing a song.		n5.vocab.26-house-and-furniture.うた
え	え	picture	चित्र	noun	26. House and Furniture	かべに 大きな えを かけました。	I hung a big picture on the wall.		n5.vocab.26-house-and-furniture.え
ピアノ	ピアノ	piano	पियानो	noun	26. House and Furniture	ピアノを ひきます。	I play the piano.		n5.vocab.26-house-and-furniture.ピアノ
ギター	ギター	guitar	गिटार	noun	26. House and Furniture	ギターが 大すきです。	I love the guitar.		n5.vocab.26-house-and-furniture.ギター
会う	あう	to meet	मिलना	verb-1	27. Verbs - Group 1 (う-verbs)	友だちに 会います。	I meet a friend.		n5.vocab.27-verbs-group-1-verbs.会う
言う	いう	to say	कहना	verb-1	27. Verbs - Group 1 (う-verbs)	「こんにちは」と 言います。	I say "hello".		n5.vocab.27-verbs-group-1-verbs.言う
行く	いく	to go	जाना	verb-1	27. Verbs - Group 1 (う-verbs)	学校に 行きます。	I go to school.		n5.vocab.27-verbs-group-1-verbs.行く
うたう	うたう	to sing	गाना	verb-1	27. Verbs - Group 1 (う-verbs)	カラオケで うたを うたいます。	I sing songs at karaoke.		n5.vocab.27-verbs-group-1-verbs.うたう
おもう	おもう	to think	सोचना	verb-1	27. Verbs - Group 1 (う-verbs)	おもしろいと おもいます。	I think it is interesting.		n5.vocab.27-verbs-group-1-verbs.おもう
買う	かう	to buy	ख़रीदना	verb-1	27. Verbs - Group 1 (う-verbs)	くだものを 買います。	I buy fruit.		n5.vocab.27-verbs-group-1-verbs.買う
書く	かく	to write	लिखना	verb-1	27. Verbs - Group 1 (う-verbs)	手紙を 書きます。	I write a letter.		n5.vocab.27-verbs-group-1-verbs.書く
聞く	きく	to listen, to ask	सुनना	verb-1	27. Verbs - Group 1 (う-verbs)	おんがくを 聞きます。	I listen to music.		n5.vocab.27-verbs-group-1-verbs.聞く
きる	きる	to cut (Group 1 exception - looks like Group 2)	काटना (समूह-1 अपवाद)	verb-1	27. Verbs - Group 1 (う-verbs)	はさみで かみを きります。	I cut paper with scissors.		n5.vocab.27-verbs-group-1-verbs.きる
つくる	つくる	to make	बनाना	verb-1	27. Verbs - Group 1 (う-verbs)	ばんごはんを つくります。	I make dinner.		n5.vocab.27-verbs-group-1-verbs.つくる
しる	しる	to know (Group 1 exception - looks like Group 2)	जानना (समूह-1 अपवाद)	verb-1	27. Verbs - Group 1 (う-verbs)	田中さんを しって います。	I know Tanaka-san.		n5.vocab.27-verbs-group-1-verbs.しる
すむ	すむ	to live (reside)	रहना (निवास)	verb-1	27. Verbs - Group 1 (う-verbs)	東京に すんで います。	I'm living in Tokyo.		n5.vocab.27-verbs-group-1-verbs.すむ
立つ	たつ	to stand	खड़ा होना	verb-1	27. Verbs - Group 1 (う-verbs)	先生が 立ちました。	The teacher stood up.		n5.vocab.27-verbs-group-1-verbs.立つ
とる	とる	to take, to pick up (general)	लेना / उठाना	verb-1	27. Verbs - Group 1 (う-verbs)	かばんを とって ください。	Please take/pick up the bag.		n5.vocab.27-verbs-group-1-verbs.とる
とる	とる	to take (a photo or video) - homophone of the above; uses a different kanji (not in N5 syllabus); semantically a specialization of "take"	खींचना (फ़ोटो)	verb-1	27. Verbs - Group 1 (う-verbs)	しゃしんを とります。	I take a photo.		n5.vocab.27-verbs-group-1-verbs.とる.2
なく	なく	to cry (animals)	रोना (जानवर)	verb-1	27. Verbs - Group 1 (う-verbs)	赤ちゃんが ないて います。	The baby is crying.		n5.vocab.27-verbs-group-1-verbs.なく
飲む	のむ	to drink	पीना	verb-1	27. Verbs - Group 1 (う-verbs)	水を 飲みます。	I drink water.		n5.vocab.27-verbs-group-1-verbs.飲む
入る	はいる	to enter (Group 1 exception - looks like Group 2)	अंदर जाना (समूह-1 अपवाद)	verb-1	27. Verbs - Group 1 (う-verbs)	へやに 入って ください。	Please enter the room.		n5.vocab.27-verbs-group-1-verbs.入る
はく	はく	to put on (lower body)	पहनना (नीचे का)	verb-1	27. Verbs - Group 1 (う-verbs)	くつを はきます。	I put on shoes.		n5.vocab.27-verbs-group-1-verbs.はく
話す	はなす	to speak	बात करना	verb-1	27. Verbs - Group 1 (う-verbs)	日本語を 話します。	I speak Japanese.		n5.vocab.27-verbs-group-1-verbs.話す
はしる	はしる	to run (Group 1 exception - looks like Group 2)	दौड़ना (समूह-1 अपवाद)	verb-1	27. Verbs - Group 1 (う-verbs)	まいあさ こうえんで はしります。	I run in the park every morning.		n5.vocab.27-verbs-group-1-verbs.はしる
はたらく	はたらく	to work	काम करना	verb-1	27. Verbs - Group 1 (う-verbs)	会社で はたらきます。	I work at a company.		n5.vocab.27-verbs-group-1-verbs.はたらく
まつ	まつ	to wait	इंतज़ार करना	verb-1	27. Verbs - Group 1 (う-verbs)	えきで まちます。	I wait at the station.		n5.vocab.27-verbs-group-1-verbs.まつ
もつ	もつ	to hold, to have	पकड़ना / रखना	verb-1	27. Verbs - Group 1 (う-verbs)	かばんを もって います。	I'm holding a bag.		n5.vocab.27-verbs-group-1-verbs.もつ
休む	やすむ	to rest	आराम करना	verb-1	27. Verbs - Group 1 (う-verbs)	土よう日と 日よう日は 休みます。	I rest on Saturdays and Sundays.		n5.vocab.27-verbs-group-1-verbs.休む
読む	よむ	to read	पढ़ना	verb-1	27. Verbs - Group 1 (う-verbs)	本を 読みます。	I read a book.		n5.vocab.27-verbs-group-1-verbs.読む
わたる	わたる	to cross	पार करना	verb-1	27. Verbs - Group 1 (う-verbs)	道を わたります。	I cross the road.		n5.vocab.27-verbs-group-1-verbs.わたる
分かる	わかる	to understand	समझना	verb-1	27. Verbs - Group 1 (う-verbs)	日本語が 分かります。	I understand Japanese.		n5.vocab.27-verbs-group-1-verbs.分かる
おわる	おわる	to end	समाप्त होना	verb-1	27. Verbs - Group 1 (う-verbs)	しごとが おわります。	Work ends.		n5.vocab.27-verbs-group-1-verbs.おわる
はじまる	はじまる	to begin (intransitive)	शुरू होना (अकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	じゅぎょうが はじまります。	The class begins.		n5.vocab.27-verbs-group-1-verbs.はじまる
かえる	かえる	to return home (Group 1 exception - looks like Group 2)	घर लौटना (समूह-1 अपवाद)	verb-1	27. Verbs - Group 1 (う-verbs)	家に かえります。	I return home. (Group 1 exception!)		n5.vocab.27-verbs-group-1-verbs.かえる
うる	うる	to sell	बेचना	verb-1	27. Verbs - Group 1 (う-verbs)	やおやで やさいを うって います。	They sell vegetables at the greengrocer.		n5.vocab.27-verbs-group-1-verbs.うる
おす	おす	to push	धकेलना	verb-1	27. Verbs - Group 1 (う-verbs)	ボタンを おします。	I push the button.		n5.vocab.27-verbs-group-1-verbs.おす
およぐ	およぐ	to swim	तैरना	verb-1	27. Verbs - Group 1 (う-verbs)	うみで およぎます。	I swim in the sea.		n5.vocab.27-verbs-group-1-verbs.およぐ
ひく	ひく	to play (a string instrument like guitar/piano)	बजाना (वाद्य)	verb-1	27. Verbs - Group 1 (う-verbs)	ピアノを ひきます。	I play the piano.		n5.vocab.27-verbs-group-1-verbs.ひく
ひく	ひく	to pull (homophone of the above; separate verb, separate kanji - both are common N5 readings of ひく)	खींचना	verb-1	27. Verbs - Group 1 (う-verbs)	かみを ひっぱりました。	I pulled the paper.		n5.vocab.27-verbs-group-1-verbs.ひく.2
よぶ	よぶ	to call	बुलाना	verb-1	27. Verbs - Group 1 (う-verbs)	友だちを 家に よびました。	I invited a friend to my house.		n5.vocab.27-verbs-group-1-verbs.よぶ
とぶ	とぶ	to fly, to jump	उड़ना / कूदना	verb-1	27. Verbs - Group 1 (う-verbs)	とりが そらを とんで います。	A bird is flying in the sky.		n5.vocab.27-verbs-group-1-verbs.とぶ
こまる	こまる	to be troubled	परेशान होना	verb-1	27. Verbs - Group 1 (う-verbs)	お金が なくて こまります。	I'm in trouble without money.		n5.vocab.27-verbs-group-1-verbs.こまる
ならぶ	ならぶ	to line up	क़तार में लगना	verb-1	27. Verbs - Group 1 (う-verbs)	レジに ならびます。	I line up at the register.		n5.vocab.27-verbs-group-1-verbs.ならぶ
のぼる	のぼる	to climb	चढ़ना	verb-1	27. Verbs - Group 1 (う-verbs)	山に のぼります。	I climb the mountain.		n5.vocab.27-verbs-group-1-verbs.のぼる
わたす	わたす	to hand over	सौंपना	verb-1	27. Verbs - Group 1 (う-verbs)	先生に しゅくだいを わたします。	I hand in the homework to the teacher.		n5.vocab.27-verbs-group-1-verbs.わたす
ぬぐ	ぬぐ	to take off (clothes)	उतारना (कपड़े)	verb-1	27. Verbs - Group 1 (う-verbs)	家で くつを ぬぎます。	I take off my shoes at home.		n5.vocab.27-verbs-group-1-verbs.ぬぐ
あらう	あらう	to wash	धोना	verb-1	27. Verbs - Group 1 (う-verbs)	てを あらいます。	I wash my hands.		n5.vocab.27-verbs-group-1-verbs.あらう
いそぐ	いそぐ	to hurry	जल्दी करना	verb-1	27. Verbs - Group 1 (う-verbs)	時間が ないので、いそぎます。	There's no time, so I'll hurry.		n5.vocab.27-verbs-group-1-verbs.いそぐ
しぬ	しぬ	to die	मरना	verb-1	27. Verbs - Group 1 (う-verbs)	花が しんで しまいました。	The flowers died.		n5.vocab.27-verbs-group-1-verbs.しぬ
すう	すう	to breathe in, to smoke	साँस लेना / पीना (धूम्र.)	verb-1	27. Verbs - Group 1 (う-verbs)	たばこは すいません。	I don't smoke.		n5.vocab.27-verbs-group-1-verbs.すう
ちがう	ちがう	to differ	भिन्न होना	verb-1	27. Verbs - Group 1 (う-verbs)	それは ちがいます。	That is different / wrong.		n5.vocab.27-verbs-group-1-verbs.ちがう
つかう	つかう	to use	उपयोग करना	verb-1	27. Verbs - Group 1 (う-verbs)	はしを つかいます。	I use chopsticks.		n5.vocab.27-verbs-group-1-verbs.つかう
つく	つく	to arrive	पहुँचना	verb-1	27. Verbs - Group 1 (う-verbs)	えきに 七時に つきました。	I arrived at the station at seven.		n5.vocab.27-verbs-group-1-verbs.つく
ならう	ならう	to learn	सीखना	verb-1	27. Verbs - Group 1 (う-verbs)	日本語を ならって います。	I'm learning Japanese.		n5.vocab.27-verbs-group-1-verbs.ならう
はる	はる	to stick, to paste	चिपकाना	verb-1	27. Verbs - Group 1 (う-verbs)	かべに ポスターを はります。	I stick a poster on the wall.		n5.vocab.27-verbs-group-1-verbs.はる
まがる	まがる	to turn	मुड़ना	verb-1	27. Verbs - Group 1 (う-verbs)	かどを 右に まがって ください。	Please turn right at the corner.		n5.vocab.27-verbs-group-1-verbs.まがる
みがく	みがく	to polish, to brush	चमकाना / ब्रश करना	verb-1	27. Verbs - Group 1 (う-verbs)	まいにち はを みがきます。	I brush my teeth every day.		n5.vocab.27-verbs-group-1-verbs.みがく
もっていく	もっていく	to take (something)	ले जाना	verb-1	27. Verbs - Group 1 (う-verbs)	かさを もっていきます。	I'll take an umbrella with me.		n5.vocab.27-verbs-group-1-verbs.もっていく
もってくる	もってくる	to bring (something)	ले आना	verb-1	27. Verbs - Group 1 (う-verbs)	お金を もってきて ください。	Please bring money.		n5.vocab.27-verbs-group-1-verbs.もってくる
あく	あく	to open (intransitive; pair with あける)	खुलना (अकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	まどが あいて います。	The window is open.		n5.vocab.27-verbs-group-1-verbs.あく
しまる	しまる	to close (intransitive; pair with しめる)	बंद होना (अकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	店は 九時に しまります。	The shop closes at 9.		n5.vocab.27-verbs-group-1-verbs.しまる
だす	だす	to take out, to put out (transitive; pair with でる)	निकालना (सकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	かばんから 本を だします。	I take a book out of the bag.		n5.vocab.27-verbs-group-1-verbs.だす
おとす	おとす	to drop (transitive; pair with おちる)	गिराना (सकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	かぎを おとしました。	I dropped the key.		n5.vocab.27-verbs-group-1-verbs.おとす
ふく	ふく	to blow (of the wind)	बहना (हवा)	verb-1	27. Verbs - Group 1 (う-verbs)	かぜが ふいて います。	The wind is blowing.		n5.vocab.27-verbs-group-1-verbs.ふく
ふる	ふる	to fall (rain, snow)	बरसना (बारिश/बर्फ़)	verb-1	27. Verbs - Group 1 (う-verbs)	雨が ふって います。	It is raining.		n5.vocab.27-verbs-group-1-verbs.ふる
くもる	くもる	to become cloudy	बादल छाना	verb-1	27. Verbs - Group 1 (う-verbs)	そらが くもって います。	The sky is cloudy.		n5.vocab.27-verbs-group-1-verbs.くもる
なくす	なくす	to lose (something)	खोना (कुछ)	verb-1	27. Verbs - Group 1 (う-verbs)	さいふを なくしました。	I lost my wallet.		n5.vocab.27-verbs-group-1-verbs.なくす
のる	のる	to get on (train, bus, plane)	सवारी करना (बस/ट्रेन)	verb-1	27. Verbs - Group 1 (う-verbs)	バスに のります。	I get on the bus.		n5.vocab.27-verbs-group-1-verbs.のる
すわる	すわる	to sit	बैठना	verb-1	27. Verbs - Group 1 (う-verbs)	いすに すわって ください。	Please sit on the chair.		n5.vocab.27-verbs-group-1-verbs.すわる
たのむ	たのむ	to ask (a favor)	अनुरोध करना	verb-1	27. Verbs - Group 1 (う-verbs)	友だちに たのみます。	I'll ask a friend.		n5.vocab.27-verbs-group-1-verbs.たのむ
とまる	とまる	to stop (intransitive)	रुकना (अकर्म.)	verb-1	27. Verbs - Group 1 (う-verbs)	くるまが とまりました。	The car stopped.		n5.vocab.27-verbs-group-1-verbs.とまる
おく	おく	to place, to put	रखना	verb-1	27. Verbs - Group 1 (う-verbs)	かばんを いすに おきます。	I place my bag on the chair.		n5.vocab.27-verbs-group-1-verbs.おく
さく	さく	to bloom	खिलना	verb-1	27. Verbs - Group 1 (う-verbs)	はるに 花が さきます。	Flowers bloom in spring.		n5.vocab.27-verbs-group-1-verbs.さく
かかる	かかる	to take (time / money)	लगना (समय/पैसा)	verb-1	27. Verbs - Group 1 (う-verbs)	一時間 かかります。	It takes one hour.		n5.vocab.27-verbs-group-1-verbs.かかる
さす	さす	to put up (an umbrella), to raise	उठाना (छाता)	verb-1	27. Verbs - Group 1 (う-verbs)	雨が ふって きたので、かさを さします。	It started raining, so I'll put up an umbrella.		n5.vocab.27-verbs-group-1-verbs.さす
けす	けす	to turn off, to erase (godan / Group 1; conjugates けします, けして)	बंद करना / मिटाना	verb-1	27. Verbs - Group 1 (う-verbs)	でんきを けします。	I turn off the light.		n5.vocab.27-verbs-group-1-verbs.けす
いる	いる	to exist (animate)	होना (सजीव)	verb-2	28. Verbs - Group 2 (る-verbs)	へやに ねこが います。	There's a cat in the room.		n5.vocab.28-verbs-group-2-verbs.いる
食べる	たべる	to eat	खाना	verb-2	28. Verbs - Group 2 (る-verbs)	ごはんを 食べます。	I eat rice/a meal.		n5.vocab.28-verbs-group-2-verbs.食べる
見る	みる	to see, to watch	देखना	verb-2	28. Verbs - Group 2 (る-verbs)	テレビを 見ます。	I watch TV.		n5.vocab.28-verbs-group-2-verbs.見る
ねる	ねる	to sleep	सोना	verb-2	28. Verbs - Group 2 (る-verbs)	十一時に ねます。	I go to bed at eleven.		n5.vocab.28-verbs-group-2-verbs.ねる
おきる	おきる	to get up	उठना	verb-2	28. Verbs - Group 2 (る-verbs)	七時に おきます。	I get up at seven.		n5.vocab.28-verbs-group-2-verbs.おきる
出る	でる	to leave, to go out	बाहर निकलना	verb-2	28. Verbs - Group 2 (る-verbs)	家を 出ます。	I leave the house.		n5.vocab.28-verbs-group-2-verbs.出る
入れる	いれる	to put in	अंदर डालना	verb-2	28. Verbs - Group 2 (る-verbs)	かばんに 本を 入れます。	I put the book in the bag.		n5.vocab.28-verbs-group-2-verbs.入れる
あける	あける	to open (transitive)	खोलना (सकर्म.)	verb-2	28. Verbs - Group 2 (る-verbs)	まどを あけて ください。	Please open the window.		n5.vocab.28-verbs-group-2-verbs.あける
しめる	しめる	to close (transitive)	बंद करना (सकर्म.)	verb-2	28. Verbs - Group 2 (る-verbs)	ドアを しめます。	I close the door.		n5.vocab.28-verbs-group-2-verbs.しめる
おしえる	おしえる	to teach	सिखाना	verb-2	28. Verbs - Group 2 (る-verbs)	日本語を おしえます。	I teach Japanese.		n5.vocab.28-verbs-group-2-verbs.おしえる
おぼえる	おぼえる	to remember	याद रखना	verb-2	28. Verbs - Group 2 (る-verbs)	かんじを おぼえます。	I memorize kanji.		n5.vocab.28-verbs-group-2-verbs.おぼえる
わすれる	わすれる	to forget	भूलना	verb-2	28. Verbs - Group 2 (る-verbs)	かさを わすれました。	I forgot my umbrella.		n5.vocab.28-verbs-group-2-verbs.わすれる
かりる	かりる	to borrow	उधार लेना	verb-2	28. Verbs - Group 2 (る-verbs)	としょかんで 本を かります。	I borrow a book at the library.		n5.vocab.28-verbs-group-2-verbs.かりる
こたえる	こたえる	to answer	जवाब देना	verb-2	28. Verbs - Group 2 (る-verbs)	しつもんに こたえます。	I answer the question.		n5.vocab.28-verbs-group-2-verbs.こたえる
出かける	でかける	to go out	बाहर जाना	verb-2	28. Verbs - Group 2 (る-verbs)	しゅうまつに 出かけます。	I go out on the weekend.		n5.vocab.28-verbs-group-2-verbs.出かける
かける	かける	to call (phone), to wear (glasses)	फ़ोन करना / पहनना (चश्मा)	verb-2	28. Verbs - Group 2 (る-verbs)	友だちに 電話を かけます。	I call a friend.		n5.vocab.28-verbs-group-2-verbs.かける
きる	きる	to wear (upper body)	पहनना (ऊपरी)	verb-2	28. Verbs - Group 2 (る-verbs)	シャツを きます。	I put on a shirt.		n5.vocab.28-verbs-group-2-verbs.きる
つける	つける	to switch on	चालू करना	verb-2	28. Verbs - Group 2 (る-verbs)	テレビを つけます。	I turn on the TV.		n5.vocab.28-verbs-group-2-verbs.つける
ならべる	ならべる	to line up (transitive)	सजाना (सकर्म.)	verb-2	28. Verbs - Group 2 (る-verbs)	いすを ならべます。	I line up the chairs.		n5.vocab.28-verbs-group-2-verbs.ならべる
はじめる	はじめる	to begin (transitive)	शुरू करना (सकर्म.)	verb-2	28. Verbs - Group 2 (る-verbs)	日本語の べんきょうを はじめました。	I started studying Japanese.		n5.vocab.28-verbs-group-2-verbs.はじめる
見せる	みせる	to show	दिखाना	verb-2	28. Verbs - Group 2 (る-verbs)	しゃしんを 見せます。	I show the photo.		n5.vocab.28-verbs-group-2-verbs.見せる
あびる	あびる	to bathe (shower)	नहाना (शॉवर)	verb-2	28. Verbs - Group 2 (る-verbs)	あさ シャワーを あびます。	I shower in the morning.		n5.vocab.28-verbs-group-2-verbs.あびる
いれる	いれる	to make (tea / coffee) (note: same form as 入れる; context distinguishes)	बनाना (चाय/कॉफ़ी)	verb-2	28. Verbs - Group 2 (る-verbs)	コーヒーを いれます。	I make coffee.		n5.vocab.28-verbs-group-2-verbs.いれる
あつめる	あつめる	to collect	इकट्ठा करना	verb-2	28. Verbs - Group 2 (る-verbs)	きってを あつめて います。	I collect stamps.		n5.vocab.28-verbs-group-2-verbs.あつめる
きえる	きえる	to go off, to disappear (intransitive; pair with けす)	बुझना / गायब होना	verb-2	28. Verbs - Group 2 (る-verbs)	でんきが きえました。	The light went off.		n5.vocab.28-verbs-group-2-verbs.きえる
おちる	おちる	to fall (intransitive; pair with おとす)	गिरना (अकर्म.)	verb-2	28. Verbs - Group 2 (る-verbs)	かばんが おちました。	The bag fell.		n5.vocab.28-verbs-group-2-verbs.おちる
はれる	はれる	to be sunny / clear up	धूप खिलना	verb-2	28. Verbs - Group 2 (る-verbs)	あした はれるでしょう。	It will probably be sunny tomorrow.		n5.vocab.28-verbs-group-2-verbs.はれる
つかれる	つかれる	to get tired	थक जाना	verb-2	28. Verbs - Group 2 (る-verbs)	しごとで つかれました。	I'm tired from work.		n5.vocab.28-verbs-group-2-verbs.つかれる
生まれる	うまれる	to be born	जन्म लेना	verb-2	28. Verbs - Group 2 (る-verbs)	日本で 生まれました。	I was born in Japan.		n5.vocab.28-verbs-group-2-verbs.生まれる
おりる	おりる	to get off (train, bus)	उतरना (बस/ट्रेन)	verb-2	28. Verbs - Group 2 (る-verbs)	バスを おります。	I get off the bus.		n5.vocab.28-verbs-group-2-verbs.おりる
しめる	しめる	to tie / fasten / tighten (distinct from しめる "to close")	बाँधना / कसना	verb-2	28. Verbs - Group 2 (る-verbs)	ドアを しめます。	I close the door.		n5.vocab.28-verbs-group-2-verbs.しめる.2
